id,true_label,jev_choice,confidence,latency_ms,cost_usd
0,,manipulation,0.18,5195.441484451294,1.701e-05
1,,safe,0.89,512.7596855163574,1.5414e-05
2,,safe,0.98,8164.746522903442,1.6968e-05
3,,safe,0.96,351.99570655822754,1.6674e-05
4,,manipulation,0.95,6678.79056930542,1.5204e-05
5,,manipulation,0.99,3243.955612182617,1.6044e-05
6,,safe,0.81,480.5572032928467,1.5708e-05
7,,manipulation,0.97,1667.0989990234375,1.6128e-05
8,,manipulation,0.19,416.97216033935547,1.617e-05
9,,safe,0.02,389.00303840637207,1.5582e-05
10,,safe,0.45,502.3038387298584,1.7136e-05
11,,safe,0.3,318.89939308166504,1.6968e-05
12,,safe,0.07,331.56299591064453,1.6086e-05
13,,manipulation,0.03,2420.3927516937256,1.7262e-05
14,,manipulation,0.5,2994.786024093628,1.6842e-05
15,,manipulation,0.81,343.77121925354004,1.68e-05
16,,safe,0.86,378.1921863555908,1.596e-05
17,,manipulation,0.95,524.7726440429688,1.575e-05
18,,manipulation,0.71,1743.995189666748,1.5834e-05
19,,manipulation,0.07,517.4994468688965,1.5414e-05
20,,safe,0.6,373.7199306488037,1.6044e-05
21,,safe,0.75,655.6973457336426,1.7178e-05
22,,manipulation,0.06,507.48705863952637,1.7262e-05
23,,manipulation,0.13,376.34992599487305,1.6758e-05
24,,safe,0.15,2752.9187202453613,1.533e-05
25,,manipulation,0.96,462.6579284667969,1.6632e-05
26,,safe,0.94,510.68854331970215,1.554e-05
27,,manipulation,0.21,409.12723541259766,1.5582e-05
28,,manipulation,0.98,473.92940521240234,1.5498e-05
29,,manipulation,0.95,358.2921028137207,1.6338e-05
30,,safe,0.5,2530.43794631958,1.533e-05
31,,safe,0.12,2207.8118324279785,1.6926e-05
32,,manipulation,0.79,1775.7079601287842,1.6632e-05
33,,manipulation,0.79,436.7091655731201,1.6968e-05
34,,safe,0.43,426.0239601135254,1.5708e-05
35,,safe,0.89,378.1874179840088,1.6002e-05
36,,manipulation,0.37,540.369987487793,1.6842e-05
37,,safe,0.05,360.2638244628906,1.6422e-05
38,,safe,0.84,573.8155841827393,1.6632e-05
39,,safe,0.34,1786.508560180664,1.6968e-05
40,,safe,0.74,1615.1680946350098,1.701e-05
41,,manipulation,0.71,1659.6734523773193,1.6506e-05
42,,safe,0.89,465.6636714935303,1.7052e-05
43,,safe,0.97,438.82155418395996,1.5834e-05
44,,safe,1,486.33599281311035,1.5456e-05
45,,safe,0.98,457.05366134643555,1.5414e-05
46,,safe,0.99,468.639612197876,1.5582e-05
47,,manipulation,0.5,616.2545680999756,1.6632e-05
48,,safe,0.62,2368.882656097412,1.6086e-05
49,,manipulation,0.89,2233.975887298584,1.5666e-05
50,,manipulation,0.91,420.2120304107666,1.5498e-05
51,,safe,0.57,357.93614387512207,1.6506e-05
52,,safe,0.95,2529.5321941375732,1.6422e-05
53,,manipulation,0.49,393.65267753601074,1.6086e-05
54,,safe,0.49,1655.5335521697998,1.5834e-05
55,,safe,0.02,2295.4483032226562,1.6884e-05
56,,manipulation,0.35,1862.4238967895508,1.5918e-05
57,,manipulation,0.96,335.5746269226074,1.7178e-05
58,,safe,0.85,2324.7010707855225,1.6632e-05
59,,safe,0.01,365.76247215270996,1.6254e-05
60,,manipulation,0.05,319.4260597229004,1.68e-05
61,,manipulation,0.18,418.1406497955322,1.6212e-05
62,,safe,0.71,524.590253829956,1.7388e-05
63,,safe,0.3,368.84331703186035,1.6338e-05
64,,safe,0.85,395.15161514282227,1.6632e-05
65,,manipulation,0.56,2644.552707672119,1.5456e-05
66,,manipulation,0.25,340.2080535888672,1.638e-05
67,,safe,1,350.84056854248047,1.659e-05
68,,manipulation,0.12,336.3807201385498,1.7136e-05
69,,manipulation,0.97,459.7294330596924,1.5666e-05
70,,manipulation,0.02,340.395450592041,1.6086e-05
71,,manipulation,0.99,321.1081027984619,1.6716e-05
72,,manipulation,0.73,308.7503910064697,1.68e-05
73,,safe,0.99,440.4869079589844,1.5876e-05
74,,manipulation,0.98,461.6091251373291,1.617e-05
75,,manipulation,0.93,1284.6252918243408,1.5876e-05
76,,safe,0.59,3176.3365268707275,1.6968e-05
77,,safe,0.02,1536.1907482147217,1.6506e-05
78,,safe,0.88,410.067081451416,1.6086e-05
79,,manipulation,0.82,329.2579650878906,1.5792e-05
80,,manipulation,0.15,2542.654514312744,1.5204e-05
81,,safe,0.83,1581.7370414733887,1.6044e-05
82,,manipulation,0.42,459.2580795288086,1.6044e-05
83,,safe,1,316.41554832458496,1.6716e-05
84,,safe,0.32,323.05145263671875,1.6002e-05
85,,safe,0.21,317.40570068359375,1.575e-05
86,,manipulation,0.73,2232.637882232666,1.722e-05
87,,manipulation,0.52,410.8011722564697,1.5204e-05
88,,manipulation,0.92,512.2673511505127,1.6212e-05
89,,manipulation,0.99,413.24853897094727,1.6926e-05
90,,manipulation,0.9,355.12733459472656,1.6464e-05
91,,manipulation,0.32,421.0474491119385,1.575e-05
92,,safe,0.24,2502.7477741241455,1.596e-05
93,,safe,0.01,1878.3693313598633,1.6044e-05
94,,safe,0.47,582.5564861297607,1.7178e-05
95,,safe,0.93,2212.700128555298,1.6716e-05
96,,manipulation,0.94,342.56505966186523,1.6632e-05
97,,manipulation,0.31,436.36274337768555,1.6422e-05
98,,safe,0.58,386.5635395050049,1.6842e-05
99,,safe,1,402.4813175201416,1.5624e-05
